x @  cent_trace_len @  decent_trace_len @  odecent_trace_len @  cent_num_mess @  decent_num_mess @  odecent_num_mess @  cent_size_mess @  decent_size_mess @  odecent_size_mess @  cent_nb_progressions @  decent_nb_progressions @  odecent_nb_progressions @  formula @  trace
1 @ 2 @ 3 @ 2 @ 3 @ 0 @ 0 @ 1. @ 0. @ 0. @ 3 @ 3 @ 3 @ Next (Var "b") @ { | |c} ; {a|b|c} ; { |b| } ; {a| |c} ; {a|b| } ; {a|b| } ; {a|b| } ; {a|b| } ; {a| |c} ; { |b|c} ; { | | } ; {a| | } ; { | |c} ; {a| | } ; {a|b|c} ; {a|b| } ; { | | } ; { |b| } ; {a|b| } ; { |b| } ; {a|b| } ; { | |c} ; { | | } ; { | | } ; { | | } ; { | |c} ; {a|b| } ; { |b|c} ; { |b| } ; { | |c} ; { | |c} ; { | |c} ; {a|b|c} ; { |b| } ; { |b| } ; { |b| } ; { | | } ; { | |c} ; {a|b|c} ; {a|b|c} ; { | |c} ; { | | } ; { | | } ; {a|b| } ; {a|b| } ; { |b| } ; {a| | } ; {a|b| } ; { |b| } ; { | | } ; { |b|c} ; { |b| } ; {a|b|c} ; { |b| } ; {a|b| } ; { | |c} ; {a| | } ; { | |c} ; { | | } ; {a| |c} ; { |b|c} ; {a|b|c} ; {a| |c} ; { | | } ; {a| |c} ; { | |c} ; {a|b|c} ; { |b|c} ; { |b| } ; { | | } ; {a| | } ; { | | } ; { |b| } ; { | | } ; { |b| } ; { | |c} ; { | |c} ; { | | } ; {a| |c} ; { | | } ; {a| |c} ; {a|b|c} ; {a|b| } ; {a| |c} ; { | | } ; { |b| } ; {a| | } ; { | |c} ; {a| | } ; {a| | } ; { |b| } ; { |b| } ; { |b| } ; { | | } ; { | | } ; {a| |c} ; {a| | } ; {a| | } ; { | | } ; { |b| } ; {a|b| }
3 @ 45 @ 47 @ 46 @ 132 @ 27 @ 45 @ 1. @ 2.92 @ 3.15 @ 471 @ 803 @ 518 @ Glob (Or (Until (Var "b", Var "c"), Neg (Var "b"))) @ { | |c} ; { | | } ; {a|b|c} ; { | | } ; {a|b|c} ; { |b|c} ; {a| |c} ; { | |c} ; {a|b| } ; { |b|c} ; {a|b|c} ; { |b|c} ; {a|b| } ; {a|b| } ; {a|b| } ; {a|b|c} ; {a| |c} ; { | | } ; { |b| } ; {a| |c} ; {a| |c} ; { |b|c} ; {a| | } ; { | |c} ; { |b| } ; {a| |c} ; { |b|c} ; {a| | } ; {a|b| } ; { | |c} ; {a| |c} ; { | | } ; {a| | } ; { | |c} ; { |b|c} ; { | | } ; {a|b|c} ; {a| |c} ; { |b| } ; { |b| } ; { |b| } ; {a| |c} ; { | |c} ; {a|b| } ; { | | } ; { | | } ; {a|b|c} ; { |b|c} ; {a| |c} ; {a|b|c} ; { |b|c} ; {a|b| } ; { | | } ; { | |c} ; { | | } ; {a|b|c} ; {a| | } ; {a| |c} ; { |b| } ; { | |c} ; { | | } ; { |b| } ; { |b|c} ; { | | } ; { |b| } ; {a|b| } ; {a| |c} ; { | |c} ; {a|b|c} ; { | | } ; { |b|c} ; {a| | } ; { |b| } ; { | |c} ; {a| |c} ; {a|b| } ; {a|b|c} ; { |b| } ; {a| | } ; { | | } ; { |b|c} ; {a| |c} ; {a| | } ; { | |c} ; {a| |c} ; { | |c} ; {a| | } ; {a| |c} ; { | |c} ; {a|b| } ; { | |c} ; {a| |c} ; { | |c} ; {a|b| } ; { | | } ; { | | } ; {a|b|c} ; { |b| } ; { |b| } ; { | | } ; { |b|c}
3 @ 13 @ 14 @ 13 @ 36 @ 2 @ 0 @ 1. @ 0.25 @ 0. @ 26 @ 52 @ 26 @ Glob (Var "b") @ { |b| } ; {a|b| } ; { |b|c} ; {a|b| } ; { |b| } ; { |b|c} ; {a|b| } ; {a|b|c} ; { |b|c} ; {a|b| } ; { |b|c} ; { |b| } ; { | |c} ; {a|b|c} ; {a| | } ; {a|b| } ; { |b|c} ; {a| | } ; {a|b|c} ; {a|b| } ; { | | } ; { | | } ; { | |c} ; {a|b|c} ; { |b| } ; { | |c} ; {a|b| } ; { | |c} ; { |b|c} ; {a|b|c} ; {a|b| } ; {a|b|c} ; {a| |c} ; {a| | } ; {a|b| } ; { | | } ; {a| |c} ; {a| | } ; { | |c} ; {a|b|c} ; { |b|c} ; { |b| } ; { |b| } ; {a| | } ; { | |c} ; {a| |c} ; { |b| } ; { |b| } ; { | | } ; {a|b| } ; {a|b| } ; { | | } ; { |b|c} ; {a|b| } ; { |b| } ; { | | } ; { |b| } ; { |b| } ; {a| | } ; { |b|c} ; {a|b| } ; { |b| } ; {a|b| } ; {a| |c} ; { |b| } ; { | |c} ; {a|b|c} ; { | | } ; { |b| } ; {a|b|c} ; {a| | } ; {a|b| } ; { | |c} ; {a|b| } ; { | |c} ; { |b|c} ; {a| | } ; { | | } ; {a|b|c} ; { |b| } ; { |b|c} ; { |b| } ; {a|b|c} ; { |b|c} ; {a|b| } ; { | |c} ; {a|b|c} ; { |b|c} ; { |b|c} ; { |b|c} ; { |b| } ; { |b| } ; { | |c} ; {a|b|c} ; {a|b| } ; { |b|c} ; { | | } ; { |b| } ; {a|b| } ; { | | } ; { |b|c}
3 @ 10 @ 11 @ 10 @ 27 @ 6 @ 9 @ 1. @ 1.13 @ 2.29 @ 27 @ 69 @ 37 @ Next (And (Ev (Var "a"), Var "b")) @ { |b| } ; { |b|c} ; { |b|c} ; { | | } ; { |b| } ; { |b| } ; { | |c} ; { |b| } ; { | | } ; {a|b| } ; {a|b| } ; { | |c} ; { |b| } ; {a|b| } ; {a| |c} ; {a| | } ; {a| |c} ; {a| |c} ; { |b|c} ; { | |c} ; {a|b|c} ; { |b| } ; { | |c} ; { |b|c} ; {a|b|c} ; {a|b|c} ; {a|b|c} ; { |b| } ; {a| | } ; { |b| } ; { | |c} ; {a| | } ; {a|b| } ; {a|b|c} ; { | | } ; {a|b|c} ; {a|b| } ; {a|b|c} ; {a|b| } ; {a|b| } ; { | | } ; { | |c} ; {a| |c} ; { |b|c} ; {a|b|c} ; {a| | } ; {a| | } ; {a|b|c} ; {a| |c} ; { | |c} ; { |b|c} ; { | | } ; { | | } ; {a|b|c} ; { | | } ; {a| | } ; {a|b|c} ; {a| | } ; {a| | } ; { |b| } ; {a|b| } ; {a|b|c} ; { | | } ; {a|b|c} ; {a|b| } ; {a|b|c} ; {a|b| } ; { |b|c} ; {a| | } ; {a| | } ; {a| |c} ; { |b|c} ; { | | } ; { |b| } ; {a|b| } ; { |b| } ; { | |c} ; { | |c} ; { |b| } ; {a| |c} ; { |b|c} ; {a| |c} ; {a|b|c} ; {a| |c} ; {a|b| } ; { | |c} ; {a|b| } ; {a| | } ; { |b|c} ; {a| |c} ; { | | } ; {a|b| } ; {a|b|c} ; {a| |c} ; {a| |c} ; { | |c} ; { | |c} ; { | | } ; { | | } ; {a| |c} ; { | | }
3 @ 8 @ 11 @ 10 @ 21 @ 12 @ 17 @ 1. @ 6.93 @ 4.29 @ 77 @ 294 @ 142 @ Next (Until (Ev (Var "a"), And (Var "c", Var "b"))) @ { | | } ; {a|b| } ; { | |c} ; { |b| } ; { |b| } ; {a|b| } ; {a| | } ; { |b|c} ; { |b| } ; {a| |c} ; {a| |c} ; {a| | } ; {a|b| } ; {a|b| } ; {a| | } ; {a| | } ; {a|b|c} ; { |b| } ; {a|b| } ; {a|b| } ; {a|b|c} ; {a| |c} ; {a| |c} ; { |b| } ; {a| |c} ; { | | } ; {a| |c} ; { |b| } ; { |b| } ; {a| | } ; { |b| } ; {a| |c} ; {a|b| } ; { | |c} ; { |b| } ; { | |c} ; {a|b| } ; { |b| } ; {a|b|c} ; {a| |c} ; {a| | } ; { | |c} ; { |b|c} ; { | |c} ; {a|b|c} ; {a| | } ; { | |c} ; {a|b| } ; {a| | } ; { |b| } ; { | |c} ; {a|b| } ; {a| | } ; {a| | } ; { |b|c} ; {a|b|c} ; { | |c} ; {a|b| } ; { |b| } ; {a|b| } ; {a|b| } ; { |b|c} ; {a| | } ; {a| |c} ; { |b| } ; {a| |c} ; { | | } ; {a|b| } ; {a| |c} ; {a|b|c} ; {a| |c} ; { |b| } ; {a| |c} ; { |b|c} ; {a| | } ; {a| | } ; {a|b|c} ; { |b|c} ; {a|b|c} ; {a|b| } ; { |b| } ; { | | } ; {a| |c} ; {a| |c} ; {a| | } ; { | | } ; { | |c} ; {a| | } ; {a|b| } ; {a|b|c} ; {a| |c} ; { |b| } ; { |b| } ; {a|b|c} ; {a|b|c} ; { |b|c} ; { | | } ; {a| | } ; { |b|c} ; {a|b| } ; {a| | }
3 @ 12 @ 13 @ 13 @ 33 @ 4 @ 12 @ 1. @ 1.3 @ 2.47 @ 39 @ 78 @ 185 @ Until (Next (Var "b"), Ev (Var "c")) @ { | | } ; { | | } ; {a| | } ; { | | } ; { | | } ; {a|b| } ; { |b| } ; {a| | } ; { |b| } ; { | | } ; {a| | } ; {a| |c} ; { |b|c} ; { | |c} ; {a|b|c} ; { | |c} ; {a|b|c} ; {a| | } ; {a|b| } ; { | |c} ; {a|b|c} ; {a| |c} ; {a|b|c} ; {a| |c} ; { | | } ; {a|b| } ; { | |c} ; { | | } ; {a|b| } ; {a|b|c} ; {a| |c} ; {a| |c} ; {a| |c} ; {a| | } ; { | | } ; { | | } ; { | | } ; {a|b| } ; {a| | } ; { |b| } ; { | |c} ; { |b|c} ; { | | } ; {a|b| } ; { |b|c} ; {a|b|c} ; {a|b|c} ; { |b| } ; { |b| } ; {a| | } ; { |b|c} ; { |b|c} ; { |b| } ; {a| | } ; {a|b| } ; {a|b| } ; {a| | } ; { | |c} ; { |b|c} ; {a| |c} ; { | |c} ; { | | } ; { |b|c} ; {a| |c} ; {a| |c} ; { |b|c} ; { | |c} ; {a| | } ; {a| | } ; { | |c} ; { |b| } ; { | |c} ; {a| |c} ; { | | } ; {a|b|c} ; { |b| } ; { | |c} ; { |b|c} ; { | | } ; {a|b| } ; { |b|c} ; {a|b|c} ; { | | } ; { |b| } ; { | | } ; {a|b|c} ; {a| |c} ; {a|b| } ; {a|b|c} ; { | | } ; { | |c} ; {a| | } ; { |b| } ; { |b|c} ; {a| | } ; { | |c} ; {a|b|c} ; { | | } ; {a| |c} ; {a| | } ; {a| |c}
3 @ 8 @ 10 @ 9 @ 21 @ 6 @ 8 @ 1. @ 2.4 @ 2.25 @ 41 @ 133 @ 51 @ Next (Glob (Until (Var "a", Var "b"))) @ { | |c} ; {a| |c} ; {a|b| } ; { |b| } ; {a|b| } ; {a|b|c} ; {a| |c} ; { | |c} ; {a| | } ; {a| |c} ; { | | } ; { | | } ; {a| | } ; {a| |c} ; { |b| } ; {a|b|c} ; {a| |c} ; { | |c} ; {a| | } ; {a|b| } ; { |b| } ; { | |c} ; {a|b|c} ; { | | } ; { | |c} ; { |b| } ; {a|b| } ; {a| |c} ; {a| | } ; {a|b|c} ; { | |c} ; { | |c} ; { | |c} ; { |b|c} ; {a| |c} ; { |b|c} ; {a|b|c} ; { |b|c} ; { | | } ; { |b| } ; { |b|c} ; {a| |c} ; {a|b|c} ; {a| |c} ; {a| | } ; {a|b|c} ; { |b| } ; { |b| } ; { |b|c} ; { |b| } ; { |b| } ; { | |c} ; { |b|c} ; {a|b|c} ; { | |c} ; { |b|c} ; {a|b| } ; { | |c} ; {a|b|c} ; {a|b|c} ; { | | } ; {a|b|c} ; { |b|c} ; {a|b| } ; { |b| } ; {a| | } ; { |b| } ; {a| | } ; { |b|c} ; {a|b|c} ; {a| | } ; { |b| } ; {a| | } ; {a|b| } ; { |b|c} ; { |b| } ; { | |c} ; {a|b| } ; { |b|c} ; {a|b| } ; {a|b|c} ; {a|b| } ; {a| | } ; { |b| } ; { |b| } ; { |b| } ; { |b|c} ; { | |c} ; { |b| } ; {a| | } ; { | | } ; { | | } ; {a| | } ; {a| |c} ; { | |c} ; {a| |c} ; { |b| } ; { | |c} ; {a|b|c} ; {a|b| } ; {a| |c}
3 @ 22 @ 25 @ 23 @ 63 @ 17 @ 44 @ 1. @ 3.31 @ 5.57 @ 198 @ 400 @ 246 @ Ev (And (And (Var "b", Var "a"), Neg (Var "c"))) @ {a| | } ; { | | } ; {a| | } ; { |b|c} ; {a| | } ; { | |c} ; { | | } ; { |b|c} ; { |b|c} ; {a| |c} ; { |b| } ; {a| | } ; {a| | } ; { |b| } ; {a| | } ; { | |c} ; { |b| } ; {a| |c} ; { |b|c} ; {a| |c} ; {a| |c} ; {a|b| } ; {a|b| } ; { |b|c} ; { |b|c} ; {a| | } ; {a|b| } ; {a| | } ; { | | } ; { |b| } ; { | | } ; {a|b|c} ; {a|b| } ; {a|b|c} ; { |b| } ; { |b| } ; {a|b| } ; {a| | } ; { |b|c} ; {a|b|c} ; { |b| } ; { |b|c} ; { |b|c} ; { | | } ; {a| | } ; { | |c} ; { |b| } ; { | | } ; {a| |c} ; { |b| } ; {a|b| } ; {a|b|c} ; { |b|c} ; {a|b|c} ; {a| |c} ; {a|b|c} ; { | |c} ; { |b| } ; {a|b|c} ; { | | } ; {a| |c} ; { |b|c} ; {a| |c} ; {a| |c} ; { | |c} ; {a|b|c} ; { |b|c} ; {a| | } ; {a|b| } ; { | |c} ; { | |c} ; {a| | } ; {a| |c} ; {a| |c} ; {a| |c} ; { | | } ; { | | } ; {a|b|c} ; { |b| } ; {a| |c} ; { | | } ; { | | } ; {a|b|c} ; { |b|c} ; {a| | } ; { |b| } ; { |b| } ; { |b|c} ; {a|b| } ; { | |c} ; {a|b| } ; { | |c} ; {a|b| } ; {a| | } ; {a| | } ; { |b| } ; {a|b| } ; {a|b|c} ; { |b|c} ; { | | } ; { | |c}
3 @ 15 @ 17 @ 16 @ 42 @ 9 @ 15 @ 1. @ 1.37 @ 2.57 @ 75 @ 149 @ 92 @ Glob (Or (Var "c", Var "b")) @ {a|b|c} ; {a| |c} ; { | |c} ; { | |c} ; { |b|c} ; {a| |c} ; {a|b|c} ; {a|b| } ; { | |c} ; { | |c} ; { |b| } ; { | |c} ; {a|b| } ; { | |c} ; {a| | } ; {a|b| } ; { | | } ; { |b| } ; {a| | } ; {a| |c} ; {a| | } ; { |b|c} ; { | | } ; { |b|c} ; {a|b|c} ; { | | } ; {a|b|c} ; { |b| } ; { | |c} ; { | |c} ; { |b| } ; {a|b|c} ; {a|b| } ; {a|b| } ; { | |c} ; { | | } ; {a| |c} ; {a| | } ; {a|b| } ; { | | } ; {a| |c} ; {a|b|c} ; {a|b|c} ; {a| | } ; { |b| } ; {a| |c} ; { |b|c} ; { | | } ; { | |c} ; { | |c} ; {a|b|c} ; {a|b|c} ; { | |c} ; { | | } ; { | |c} ; { | | } ; { | | } ; { |b|c} ; { | | } ; {a|b| } ; { | | } ; { |b| } ; { | |c} ; {a| |c} ; {a| |c} ; { |b|c} ; {a| |c} ; {a| | } ; {a|b|c} ; { | |c} ; {a|b|c} ; { |b| } ; {a|b| } ; { | |c} ; { | | } ; {a|b| } ; { |b| } ; {a|b| } ; {a|b|c} ; {a|b| } ; { |b| } ; {a| | } ; { |b| } ; {a|b| } ; { | |c} ; { |b| } ; { |b| } ; {a|b|c} ; {a| | } ; {a|b| } ; { | |c} ; {a| | } ; { |b|c} ; { | |c} ; {a| |c} ; { | | } ; {a| |c} ; {a|b|c} ; { |b| } ; { |b| } ; { | |c}
3 @ 11 @ 12 @ 11 @ 30 @ 2 @ 0 @ 1. @ 0.48 @ 0. @ 63 @ 90 @ 63 @ Ev (Next (Var "a")) @ {a|b| } ; { |b|c} ; { | |c} ; { |b| } ; { |b|c} ; { |b|c} ; { |b|c} ; { |b| } ; { |b| } ; { |b|c} ; {a|b|c} ; { | | } ; {a|b|c} ; { | | } ; { |b| } ; {a|b|c} ; { | | } ; {a|b|c} ; { | |c} ; { |b|c} ; {a| |c} ; { |b| } ; {a|b|c} ; {a|b|c} ; { | |c} ; { | | } ; {a|b|c} ; {a|b|c} ; {a|b|c} ; {a|b|c} ; {a|b| } ; {a| |c} ; { | | } ; { | | } ; {a|b| } ; { | |c} ; { | | } ; {a|b| } ; { | |c} ; {a| |c} ; {a| | } ; { |b|c} ; {a| | } ; {a| |c} ; { | |c} ; {a|b|c} ; { | | } ; {a| | } ; {a| |c} ; {a| |c} ; { | | } ; {a| |c} ; {a| | } ; {a|b| } ; {a|b| } ; {a| |c} ; { | | } ; {a|b| } ; {a|b| } ; {a| | } ; { | | } ; { |b|c} ; {a| |c} ; {a|b|c} ; { |b| } ; { | |c} ; {a|b|c} ; {a| |c} ; {a|b| } ; { | | } ; {a| |c} ; { |b| } ; {a| | } ; { | | } ; { |b|c} ; {a| |c} ; { |b| } ; {a|b|c} ; { | | } ; { |b| } ; {a| | } ; { |b|c} ; { | |c} ; {a|b| } ; { |b|c} ; {a|b|c} ; { |b|c} ; {a| |c} ; {a|b| } ; {a|b| } ; {a| |c} ; { | |c} ; { | |c} ; {a| | } ; { |b|c} ; {a|b| } ; {a| |c} ; {a|b|c} ; {a| |c} ; { |b|c} ; { | |c}
3 @ 10 @ 12 @ 11 @ 27 @ 5 @ 10 @ 1. @ 1.27 @ 2.36 @ 50 @ 105 @ 62 @ Ev (And (Var "c", Var "a")) @ {a| | } ; {a|b| } ; { | | } ; {a|b| } ; { | |c} ; { | | } ; { | | } ; { | | } ; { | | } ; {a|b|c} ; { |b| } ; { |b| } ; { | | } ; {a|b| } ; { |b|c} ; { |b|c} ; { | |c} ; {a|b|c} ; {a| |c} ; {a| | } ; { |b| } ; {a| |c} ; { | |c} ; { |b| } ; { |b| } ; { |b|c} ; { | | } ; {a| |c} ; {a| |c} ; {a| |c} ; {a|b|c} ; { |b|c} ; { | | } ; { |b| } ; { |b| } ; {a|b|c} ; { | | } ; {a|b| } ; { | |c} ; {a|b| } ; {a|b|c} ; {a|b| } ; { | | } ; {a| |c} ; {a| | } ; {a| |c} ; {a|b|c} ; {a|b| } ; {a|b|c} ; {a|b| } ; {a| |c} ; { |b|c} ; {a|b| } ; {a| |c} ; { | |c} ; {a|b| } ; {a| | } ; {a|b| } ; {a|b| } ; { | |c} ; { |b| } ; {a|b|c} ; { |b|c} ; {a| |c} ; { | | } ; {a|b|c} ; {a| | } ; { |b| } ; { | | } ; { |b| } ; { | |c} ; {a|b| } ; {a| | } ; {a| |c} ; {a| | } ; {a| | } ; { |b| } ; { |b| } ; { |b| } ; {a| | } ; {a| | } ; { | |c} ; { |b| } ; { | | } ; { |b| } ; { | | } ; {a|b| } ; { |b|c} ; {a| |c} ; {a|b| } ; { | | } ; {a| |c} ; {a|b| } ; { | |c} ; {a| |c} ; { | |c} ; {a|b| } ; {a| |c} ; {a|b|c} ; { | | } ; { |b| }
3 @ 9 @ 10 @ 9 @ 24 @ 2 @ 0 @ 1. @ 1.18 @ 0. @ 91 @ 100 @ 91 @ Until (Ev (Next (Var "b")), Neg (Var "b")) @ {a|b|c} ; { |b| } ; {a|b| } ; { |b| } ; {a| | } ; {a| |c} ; { | |c} ; {a| | } ; {a|b|c} ; {a|b|c} ; { |b| } ; {a|b| } ; { | | } ; {a|b|c} ; {a| |c} ; { |b|c} ; { | |c} ; { |b|c} ; { |b| } ; {a|b|c} ; { | | } ; { | | } ; {a|b|c} ; { |b|c} ; { |b| } ; { |b| } ; {a|b| } ; {a|b| } ; { | |c} ; {a|b|c} ; {a| |c} ; { | | } ; { | | } ; { | |c} ; { | | } ; {a| |c} ; {a| | } ; { |b|c} ; { |b| } ; { | | } ; { |b|c} ; {a| |c} ; {a|b| } ; {a|b| } ; {a| | } ; { | | } ; {a| |c} ; {a|b| } ; { | | } ; { | |c} ; { | | } ; { |b| } ; {a|b|c} ; { | |c} ; {a| | } ; {a|b| } ; {a|b|c} ; { |b| } ; {a| | } ; {a|b| } ; { |b| } ; {a|b| } ; { |b|c} ; {a|b|c} ; { | | } ; { | | } ; { | | } ; {a| | } ; { | |c} ; {a|b| } ; { |b|c} ; { |b| } ; { |b| } ; {a| | } ; {a|b| } ; {a|b|c} ; {a| | } ; { | |c} ; { | |c} ; {a| | } ; {a|b| } ; { |b| } ; {a| |c} ; { | |c} ; { |b|c} ; { | | } ; { | |c} ; { | | } ; { |b| } ; {a|b| } ; { |b|c} ; { |b| } ; { |b| } ; { |b|c} ; { |b|c} ; { | |c} ; { |b| } ; { | | } ; {a| |c} ; { | | } ; {a| | }
3 @ 11 @ 13 @ 12 @ 30 @ 4 @ 11 @ 1. @ 0.86 @ 2.42 @ 55 @ 89 @ 68 @ Ev (And (Var "a", Var "b")) @ { | |c} ; { |b|c} ; { |b| } ; { | | } ; {a| | } ; { | | } ; {a| | } ; {a| |c} ; {a| | } ; { | | } ; {a|b|c} ; { | |c} ; { |b|c} ; {a|b| } ; { |b|c} ; {a|b| } ; {a|b| } ; { |b|c} ; { |b|c} ; { |b|c} ; {a| | } ; { | | } ; {a|b|c} ; { |b| } ; { |b|c} ; { | | } ; { | | } ; { | |c} ; {a| |c} ; {a|b|c} ; {a|b|c} ; {a| | } ; { |b|c} ; {a|b| } ; {a| |c} ; { | |c} ; {a|b|c} ; {a|b|c} ; { | |c} ; {a|b|c} ; { |b|c} ; { | |c} ; { | |c} ; {a|b| } ; { |b|c} ; { |b|c} ; {a|b| } ; {a|b| } ; {a|b| } ; { | | } ; { |b|c} ; {a| |c} ; {a| |c} ; {a|b|c} ; { | |c} ; {a| | } ; {a| | } ; {a| |c} ; { | | } ; { |b|c} ; { |b|c} ; {a|b|c} ; { |b| } ; { | | } ; {a|b| } ; {a|b| } ; {a| | } ; { | |c} ; {a|b| } ; { | | } ; { |b| } ; { |b| } ; {a|b|c} ; { | |c} ; {a| |c} ; { | |c} ; { | |c} ; { | | } ; { |b| } ; {a| |c} ; {a|b|c} ; { | |c} ; { |b| } ; {a|b| } ; { |b| } ; { | | } ; { | | } ; { |b|c} ; {a|b|c} ; { |b|c} ; {a|b| } ; { | |c} ; { | | } ; { | |c} ; {a|b| } ; {a| |c} ; { | |c} ; { | | } ; { | |c} ; { | |c} ; { | | }
3 @ 8 @ 9 @ 8 @ 21 @ 12 @ 13 @ 1. @ 9.16 @ 4. @ 66 @ 305 @ 111 @ Until (Ev (Var "c"), Until (Var "c", Var "a")) @ { | |c} ; { |b| } ; { |b|c} ; { |b| } ; {a|b| } ; { | | } ; { |b| } ; { |b|c} ; {a|b| } ; {a|b| } ; { | |c} ; { | | } ; {a| |c} ; { |b|c} ; { | |c} ; {a|b| } ; { |b| } ; {a|b|c} ; { |b|c} ; { | |c} ; { |b| } ; { | | } ; { |b|c} ; { |b|c} ; {a| | } ; {a|b|c} ; { |b| } ; { | | } ; {a|b| } ; {a|b|c} ; { |b| } ; {a| | } ; {a|b|c} ; {a|b| } ; { | | } ; { | |c} ; { |b|c} ; {a| | } ; { | |c} ; { | |c} ; { |b| } ; { | |c} ; { | | } ; { | | } ; {a|b| } ; { |b|c} ; { | | } ; { |b|c} ; { |b| } ; {a| |c} ; {a|b| } ; {a| | } ; {a|b|c} ; { |b| } ; {a|b|c} ; { |b|c} ; { |b| } ; {a| |c} ; {a| |c} ; { | | } ; {a| |c} ; { | |c} ; {a|b| } ; { | |c} ; {a|b| } ; {a|b|c} ; { | |c} ; { | | } ; { | |c} ; {a| |c} ; {a| |c} ; {a| |c} ; { |b| } ; {a| | } ; {a|b|c} ; { | |c} ; { | |c} ; { | | } ; {a|b|c} ; {a|b| } ; {a|b| } ; { |b| } ; {a| |c} ; { | | } ; {a| | } ; { | | } ; {a|b| } ; { | | } ; { | | } ; { |b| } ; { |b|c} ; { |b| } ; {a| |c} ; { | |c} ; { | | } ; { |b| } ; {a|b|c} ; { |b|c} ; { | | } ; {a|b| } ; { | | }
3 @ 10 @ 12 @ 11 @ 27 @ 6 @ 10 @ 1. @ 2.27 @ 2.36 @ 114 @ 218 @ 126 @ Glob (Next (Or (Var "a", Var "b"))) @ { |b|c} ; {a| | } ; {a|b|c} ; {a| |c} ; { |b|c} ; { |b| } ; {a|b| } ; {a| | } ; { |b| } ; { | | } ; {a| |c} ; {a|b| } ; {a|b|c} ; { | |c} ; { | |c} ; {a|b| } ; { | | } ; { | |c} ; {a| |c} ; {a|b|c} ; {a| |c} ; { |b| } ; {a| |c} ; { |b| } ; { | |c} ; { |b|c} ; {a|b|c} ; {a| | } ; { |b| } ; { |b| } ; {a|b|c} ; {a| | } ; { |b|c} ; {a|b|c} ; { |b| } ; { |b| } ; {a| | } ; {a| | } ; {a|b|c} ; {a|b|c} ; { | | } ; { |b| } ; { |b| } ; {a| |c} ; { |b| } ; {a| | } ; {a|b| } ; {a| | } ; { |b|c} ; {a|b| } ; {a|b| } ; {a| |c} ; {a| | } ; { |b|c} ; { |b| } ; {a| |c} ; {a|b|c} ; { |b| } ; {a|b| } ; { |b| } ; {a| |c} ; { | |c} ; { |b| } ; { |b|c} ; {a|b|c} ; {a| |c} ; { | | } ; {a|b|c} ; {a| | } ; { |b| } ; {a| |c} ; { | | } ; { |b|c} ; { |b| } ; { |b|c} ; {a|b|c} ; { |b|c} ; {a| |c} ; { | |c} ; { | |c} ; {a| | } ; {a|b| } ; { | |c} ; {a|b| } ; {a|b|c} ; {a| | } ; {a|b| } ; {a| |c} ; { |b| } ; {a|b| } ; { | |c} ; { | |c} ; { | | } ; {a| |c} ; {a| |c} ; { | | } ; { |b| } ; { | |c} ; { |b| } ; { | | } ; { |b|c}
3 @ 10 @ 12 @ 11 @ 27 @ 21 @ 48 @ 1. @ 41.03 @ 11.23 @ 331 @ 1713 @ 717 @ Until (Or (Var "c", Var "b"), And (Or (Ev (Neg (Var "c")), Ev (Var "a")), Or (Glob (Neg (Var "a")), Glob (Var "c")))) @ { |b| } ; { | |c} ; { | |c} ; { |b|c} ; { |b| } ; { |b| } ; { |b|c} ; { | |c} ; { | | } ; {a| | } ; { |b|c} ; {a| | } ; { |b| } ; { | | } ; { | | } ; {a|b|c} ; { | |c} ; {a|b| } ; { | | } ; { | |c} ; {a| | } ; { |b|c} ; {a| |c} ; {a| |c} ; {a| |c} ; { | | } ; {a|b| } ; {a|b| } ; { | |c} ; { | |c} ; {a| |c} ; { |b|c} ; { | |c} ; {a| |c} ; { |b|c} ; { |b|c} ; {a|b| } ; { | |c} ; {a|b|c} ; {a| |c} ; { | | } ; {a|b| } ; {a|b| } ; {a| |c} ; {a|b|c} ; {a| | } ; {a| |c} ; {a|b|c} ; { |b|c} ; { |b| } ; {a| | } ; {a| |c} ; {a|b|c} ; {a| | } ; { | | } ; {a| | } ; { |b| } ; {a|b| } ; { | | } ; { | | } ; {a|b|c} ; {a|b| } ; {a| | } ; { | | } ; { |b| } ; { |b| } ; {a|b|c} ; { | |c} ; { |b| } ; { | | } ; {a| |c} ; {a| |c} ; {a|b| } ; {a|b|c} ; {a|b|c} ; { |b|c} ; {a| | } ; {a| |c} ; { | | } ; { | |c} ; {a| |c} ; {a|b| } ; {a| |c} ; {a| |c} ; {a| |c} ; { |b| } ; { |b| } ; {a| | } ; { | | } ; { |b| } ; { |b|c} ; { | | } ; { |b| } ; { |b|c} ; { |b| } ; {a| | } ; { | | } ; { |b|c} ; { | | } ; {a| | } ; {a|b|c}
